karmn,Name,adopted_vsini_kms-1,adopted_err_kms-1,vsini_oc_kms-1,err_oc_kms-1,vsini_ni_kms-1,err_ni_kms-1,vsini_literature_kms-1,err_literature_kms-1,ref_literature,equatorial_velocity_kms-1,err_eq_velocity_kms-1
J12111-199,LTT 4562,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J12123+544S,HD 238090,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.3,0
J12156+526,StKM 2-809,39.5249952201601,2.33695065938752,39.5249952201601,2.33695065938752,39.5679528300558,2.3193187572171,37.6,3.5,Rein18,32.99,0.12
J12189+111,GL Vir,15.4341283901457,0.405239374963078,15.4341283901457,0.405239374963078,15.4281035222085,0.399880074540913,13,1.6,Rein18,16.73,0.36
J12230+640,Ross 690,< 2,-,2,-,2,-,1.1,0.11,Rein18,0.74,0.01
J12248-182,Ross 695,< 2,-,2,-,2,-,1.1,0.11,Rein18,-,-
J12312+086,BD+09 2636,< 2,-,2,-,2,-,1,0.1,Rein18,-,-
J12350+098,GJ 476,< 2,-,2,-,2,-,2,0.2,Rein18,0.67,0.01
J12373-208,LP 795-038,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J12388+116,Wolf 433,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.41,0.01
J12428+418,G 123-055,2.18428494370511,0.329472298749009,2.18428494370511,0.329472298749009,2.17998448205631,0.32880764508713,2.1,0.21,Rein18,1.19,0.02
J12479+097,Wolf 437,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.32,0.01
J13005+056,FN Vir,16.3373909789279,0.379613768166223,16.3373909789279,0.379613768166223,16.340554531296,0.372581541549261,16.4,1.6,Rein18,17.6,0.43
J13102+477,G 177-025,< 2,-,2,-,2,-,1.8,0.18,Rein18,0.3,0
J13119+658,PM J13119+6550,2.35445913739531,0.493449413508295,2.35445913739531,0.493449413508295,2.3535574277548,0.491518071868606,0.2,0.02,,-,-
J13196+333,Ross 1007,< 2,-,2,-,2,-,1.5,0.15,Rein18,0.56,0
J13209+342,BD+35 2439,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J13229+244,Ross 1020,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.15,0
J13255+688,2MASS J13253177+6850106,< 2,-,2,-,2,-,-,-,-,-,-
J13283-023W,Ross 486A,< 2,-,2,-,2,-,0.5,0.05,Rein18,0.46,0.01
J13293+114,GJ 513,< 2,-,2,-,2,-,2,0.2,Rein18,-,-
J13299+102,BD+11 2576,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.81,0.01
J13300-087,Ross 476,< 2,-,2,-,2,-,-,-,,0.2,0.01
J13427+332,Ross 1015,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J13450+176,BD+18 2776,3.56838610896745,0.737699924249537,3.56838610896745,0.737699924249537,3.5621726578948,0.724194328989062,0.2,1.5,Rein18,-,-
J13457+148,HD 119850,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.47,0.01
J13458-179,LP 798-034,< 2,-,2,-,2,-,2,0.2,Rein18,-,-
J13536+776,RX J1353.6+7737,13.4079764566599,1.07476388037893,13.4079764566599,1.07476388037893,13.4020102807338,1.06845430183981,9.7,1.5,Rein18,12.47,0.65
J13582+125,Ross 837,< 2,-,2,-,2,-,2,0.2,Rein18,-,-
J13591-198,LP 799-007,3.98669294155464,0.259762340789766,3.98669294155464,0.259762340789766,3.99370877258162,0.258484911615479,4.2,1.5,Rein18,4.13,0.05
J14010-026,HD 122303,< 2,-,2,-,2,-,0.2,0.02,Rein18,0.58,0
J14082+805,BD+81 465,< 2,-,2,-,2,-,1.2,0.12,Rein18,-,-
J14152+450,Ross 992,< 2,-,2,-,2,-,1.1,0.11,Rein18,0.41,0
J14155+046,GJ 1182,< 2,-,2,-,2,-,6.8,0.5,Jen09,-,-
J14173+454,RX J1417.3+4525,16.8406471240792,0.918211444633016,16.8406471240792,0.918211444633016,16.8341489739371,0.924435140166605,14.9,1.6,Rein18,38.45,0.6
J14251+518,tet Boo B,< 2,-,2,-,2,-,0.2,0.02,Rein18,-,-
J14257+236E,BD+24 2733B,< 2,-,2,-,2,-,1.5,0.15,Rein18,1.69,0.01
J14257+236W,BD+24 2733A,< 2,-,2,-,2,-,1.6,0.16,Rein18,0.28,0
